---------- Log from 04.06.2020 18:40:12 ---------------------------------------------------------------------------------------
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsSmallCasterGolem\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Archer_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidAltar\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\Bombardier\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Colorless\SmallMeleeGolem\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Colorless\SiegeGolem\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\DamperDrone_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Groundbreaker\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Rootling_machine\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Spore\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\PatronSaint\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsSiegeGolem\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\GatlingDrone_woodlands\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Brratu_underworld\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsSmallFlyingGolem\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidBane_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Archer_rofl\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Footman_woodlands\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidBowman_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Marksman_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsSmallMeleeGolem\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsMediumMeleeGolem_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\PhaseDrone_pur\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidSkeleton_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsMediumMeleeGolem_inflamed\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidBane_crusader\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Oracle_underworld\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\AmmoFactory\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsMeleeGolemTower\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidWraith\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\SaplingFarm_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\Frostgoyle\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Colorless\BigMeleeGolem\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidSkeleton_crusader\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Rootling_underworld\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsMediumMeleeGolem_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsBigMeleeGolem\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Priest_wip\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Footman_underworld\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\GatlingDrone_woodlands\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Footman_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Colorless\BigGolemTower\" not found!
